product_id,Other,Aldehyde,Amide,Ketone,Ester,Alcohol,Carboxylic Acid,sentiment_score
P502978,1,0,1,1,0,1,0,-0.337166666666667
P500464,1,1,1,1,0,0,1,-0.31245
P483089,1,0,1,0,0,0,0,0.0445
P483141,1,0,1,0,1,1,1,0.0543833333333333
P482747,1,0,0,0,0,1,0,0.0729
P416588,1,0,1,0,0,0,0,0.0810999999999999
P443810,1,0,1,0,0,1,0,0.0966647058823529
P483691,1,0,0,1,1,0,1,0.1137
P479974,1,0,1,1,0,1,0,0.138014285714286
P504203,1,1,1,0,1,1,0,0.168676923076923
P481138,1,0,1,0,0,0,1,0.178758333333333
P504780,1,0,1,0,0,1,0,0.181333333333333
P483057,1,0,0,0,0,1,0,0.182915
P444990,1,0,0,1,0,0,1,0.187973076923077
P464799,1,0,1,1,1,1,1,0.189110714285714
P467628,1,0,1,0,0,0,1,0.200386956521739
P468196,1,0,1,0,1,0,1,0.202075
P429504,1,0,1,0,0,1,1,0.218025
P460622,1,1,1,1,1,0,1,0.2239
P466878,1,0,0,0,0,1,1,0.240417647058824
P504786,1,0,1,0,0,0,1,0.247080952380952
P504411,0,0,1,0,0,0,1,0.25285
P469448,1,0,1,0,1,1,0,0.257241176470588
P460627,1,0,1,0,1,1,0,0.258380808080808
P475926,1,0,0,1,0,0,1,0.27068
P500482,1,1,1,0,1,0,1,0.2715
P410809,1,0,0,1,1,1,1,0.292216129032258
P462375,1,0,1,0,0,0,1,0.298566666666667
P467129,1,0,1,1,1,0,1,0.301366666666667
P481397,1,0,1,1,0,0,1,0.3017
P480280,1,0,0,0,1,0,1,0.302116129032258
P443376,1,0,1,1,0,1,0,0.303873913043478
P461522,1,0,0,0,0,0,1,0.306081720430108
P474369,1,0,1,1,0,1,1,0.3099125
P448545,1,0,1,0,0,0,1,0.32791
P270600,1,0,1,1,1,0,1,0.340354545454545
P440496,1,0,1,1,1,0,0,0.341629268292683
P421271,1,0,1,0,1,0,1,0.343793333333333
P405944,1,0,0,0,1,0,1,0.349349779735683
P482258,1,0,1,1,1,0,1,0.351133333333333
P454375,1,0,1,1,0,1,1,0.354592857142857
P447789,1,0,1,0,0,0,0,0.354983582089552
P501003,1,1,1,0,1,0,0,0.355025
P423145,1,0,1,1,1,0,0,0.369530434782609
P484080,1,0,1,0,1,0,1,0.370963329706202
P470259,1,0,1,0,1,1,1,0.370963329706202
P443383,1,0,1,1,1,1,1,0.371535211267606
P283106,1,0,1,1,0,1,1,0.377860191082803
P500106,1,0,0,1,1,1,1,0.378669230769231
P459835,1,0,1,1,0,0,0,0.380663414634146
P436343,1,0,0,0,0,1,1,0.384745454545455
P440502,1,0,0,0,1,1,0,0.389536
P470508,1,0,0,1,1,1,1,0.393711764705882
P417110,1,0,1,1,0,1,1,0.39458
P482318,1,0,0,1,1,0,0,0.40095625
P448558,1,0,1,1,0,0,1,0.403113636363636
P427393,1,0,1,1,0,1,1,0.404553378378378
P440490,1,0,1,0,1,0,1,0.40478625
P500060,1,0,1,0,1,0,1,0.4054
P475590,1,0,1,1,1,0,1,0.413366666666667
P504790,1,0,1,0,0,1,0,0.41851
P504815,1,0,1,0,0,1,1,0.4195
P483086,1,1,1,1,0,1,0,0.4215
P483078,1,1,1,1,0,1,0,0.428175
P427410,1,0,0,0,0,0,0,0.430804402515723
P454937,0,0,1,0,0,0,0,0.432742105263158
P447787,0,0,1,0,0,0,0,0.432742105263158
P455610,1,1,1,0,1,0,1,0.434239583333333
P457520,1,0,0,1,1,1,0,0.434996774193548
P482661,1,0,0,0,0,0,1,0.4357
P411881,1,0,1,0,0,0,1,0.436904580152672
P450947,1,0,1,1,1,0,1,0.44052619047619
P500151,1,0,1,0,0,0,0,0.45025
P443841,0,0,1,1,0,0,0,0.45092722007722
P457519,1,0,0,1,1,0,1,0.453532432432432
P501323,1,0,0,0,1,1,1,0.45409
P427416,1,0,1,1,0,0,0,0.455954139228598
P447790,1,0,1,0,0,0,1,0.456016326530612
P419222,1,0,1,0,1,1,0,0.462581511371974
P448542,1,0,1,1,0,0,0,0.46468125
P443375,1,0,1,1,1,0,1,0.46500303030303
P454391,0,0,1,0,0,0,0,0.465689473684211
P442860,1,0,1,0,1,0,1,0.466213333333333
P500120,1,0,1,0,1,0,0,0.46642
P469513,1,0,1,0,0,1,1,0.467918918918919
P205614,1,0,0,0,1,1,1,0.468365903307888
P460511,1,0,0,0,0,0,0,0.468927777777778
P500096,1,0,1,0,1,0,1,0.470685
P396623,0,0,1,0,0,0,0,0.472945032051282
P479840,1,0,1,1,0,1,1,0.47411
P467655,1,0,1,1,0,0,0,0.47470652173913
P297517,1,0,0,1,0,1,0,0.476333118405627
P421432,1,0,1,0,0,0,0,0.47643779661017
P429662,1,0,1,0,0,0,1,0.478431380753138
P503915,1,0,1,0,1,1,0,0.4789
P476496,1,0,1,0,1,0,0,0.479933333333333
P481347,1,0,1,0,1,0,1,0.4805125
P479973,1,0,1,0,0,1,0,0.48055
P444968,1,0,1,0,0,0,0,0.482432352941177
P482328,1,0,0,0,1,0,1,0.48418152173913
P504636,0,0,1,0,0,0,0,0.485466666666667
P469521,1,0,1,0,0,1,1,0.485948
P467652,0,0,1,0,0,0,0,0.4860821875
P469087,1,0,1,0,1,1,0,0.486085714285714
P467755,1,1,1,1,0,0,1,0.489492307692308
P408678,1,0,1,1,1,1,1,0.489579591836735
P469449,1,0,1,0,1,0,0,0.489716666666667
P446111,1,0,1,1,0,0,1,0.489885714285714
P481342,1,0,0,0,0,0,1,0.49175
P271682,1,0,0,1,0,0,0,0.495029227557411
P416562,1,0,1,1,1,0,0,0.495214395099541
P440498,1,0,1,0,0,0,0,0.496221608040201
P500428,1,0,0,1,0,1,1,0.497315384615385
P422005,1,0,1,0,1,1,1,0.49784880952381
P502771,1,0,1,1,1,1,1,0.499285714285714
P440072,1,0,0,0,0,1,1,0.499888043478261
P379709,1,1,1,0,1,1,0,0.499902941176471
P455622,1,0,1,1,0,1,1,0.503701098901099
P476570,1,0,1,0,1,1,0,0.507509090909091
P500743,1,0,1,0,1,1,0,0.508058823529412
P419221,1,0,1,0,1,0,1,0.508470532544379
P432045,1,0,0,0,1,0,1,0.510450847457627
P471039,1,0,1,0,0,1,1,0.511647619047619
P458962,1,0,1,1,1,1,1,0.511726666666667
P479732,0,0,1,0,0,1,1,0.512312084592145
P463110,1,0,0,0,0,0,0,0.51386
P463613,1,0,1,1,0,1,1,0.514376041666667
P423166,1,0,0,0,1,1,0,0.5156
P502997,1,0,1,0,0,1,0,0.516582113821138
P403748,1,0,1,0,1,0,1,0.516841176470588
P427412,0,0,1,0,0,1,1,0.517518494055482
P503944,1,0,1,0,0,1,1,0.520425
P450614,1,0,1,1,1,1,0,0.521202152641879
P504773,1,0,1,0,1,0,0,0.521730434782609
P415202,1,0,1,0,1,1,0,0.521889415041783
P456421,1,0,1,0,0,1,0,0.522133962264151
P469200,1,0,0,1,0,1,0,0.522441666666667
P504794,1,0,1,0,0,1,1,0.523155319148936
P232903,1,0,1,0,0,0,1,0.523737805264827
P464250,1,0,1,0,1,1,0,0.524582608695652
P474036,1,0,0,1,0,1,1,0.524644444444445
P421275,0,0,0,0,0,1,1,0.52580236013986
P478274,0,0,1,0,0,1,0,0.52632962962963
P465752,1,0,1,0,1,1,1,0.526643827160494
P427641,1,1,1,0,1,1,0,0.52681914893617
P440482,1,0,0,0,0,1,0,0.527180333333333
P482327,1,0,0,0,0,0,1,0.527821296296296
P504784,1,0,1,0,0,0,0,0.528135294117647
P483496,1,0,1,0,0,0,0,0.529127272727273
P440302,1,0,1,1,0,0,0,0.529412903225807
P397626,1,0,0,0,0,1,0,0.529701587301587
P438635,1,0,1,0,0,0,0,0.529790243902439
P433620,1,0,0,0,1,0,0,0.530425
P469544,1,0,1,0,1,0,0,0.530425423728814
P482322,1,0,1,0,0,0,0,0.532795833333333
P427417,0,0,1,0,0,0,0,0.533094564279551
P443829,1,0,1,1,0,0,0,0.534619543147208
P483092,1,0,0,0,0,1,1,0.53479
P456991,1,0,0,1,0,1,0,0.534901136363636
P436365,1,0,0,1,0,0,1,0.535098347107438
P440933,1,0,1,1,1,0,0,0.535614960629921
P500502,1,0,0,0,0,0,0,0.536257142857143
P455369,1,0,1,1,1,0,0,0.536534010152284
P501591,1,0,1,1,1,1,1,0.5366
P379711,1,1,1,0,0,1,0,0.536867634854772
P428816,1,0,1,0,0,1,0,0.537709
P406104,1,0,1,1,1,0,0,0.538641614906832
P482697,0,0,1,0,1,0,0,0.538664705882353
P502691,1,0,1,1,0,0,0,0.539216666666667
P476447,0,0,1,0,1,0,0,0.539305813953488
P474376,1,0,1,1,1,0,1,0.541097435897436
P440937,1,1,0,0,1,0,0,0.541208108108108
P502741,1,1,0,0,1,0,1,0.542033783783784
P461162,1,1,0,0,0,0,1,0.543435384615385
P385432,1,0,0,0,1,1,1,0.543466450417053
P474964,1,1,1,0,0,1,1,0.543492857142857
P381030,1,1,0,0,0,0,1,0.544701223529412
P429515,1,1,0,1,1,0,1,0.544870350404313
P232920,1,1,0,0,1,1,0,0.545178571428571
P472471,1,1,0,0,1,0,0,0.545671428571429
P410400,0,1,0,0,1,1,1,0.546500569426194
P460756,1,1,0,0,1,1,0,0.546526666666667
P427411,1,1,0,0,0,1,0,0.546708654848801
P452002,1,1,0,0,1,1,1,0.547025531914894
P429043,0,1,1,0,0,1,0,0.549129100529101
P503572,1,1,0,1,1,0,1,0.54986
P481376,1,1,0,1,0,1,1,0.550357142857143
P392945,1,0,1,0,0,0,1,0.550470742358079
P107306,1,1,0,0,1,1,1,0.5514604743083
P455364,1,0,0,0,1,0,1,0.551590166666667
P478030,1,1,0,0,1,0,0,0.551590166666667
P432239,0,1,0,0,0,1,1,0.551929319371728
P439926,1,0,1,1,1,1,0,0.552323854660348
P442755,0,1,0,0,0,0,1,0.552553658536585
P455366,1,1,0,1,0,0,0,0.55443912386707
P257537,1,1,0,1,0,0,1,0.554624309392265
P438648,1,1,0,1,1,1,0,0.555579487179487
P447504,1,1,1,1,1,0,1,0.556796
P440499,1,1,0,0,0,0,0,0.558169696969697
P394702,1,0,0,1,1,1,0,0.558686046511628
P427404,0,1,0,0,0,0,0,0.558870481927711
P471547,1,0,0,0,0,0,1,0.558957142857143
P502749,1,1,0,0,0,0,0,0.559184810126582
P454389,0,1,0,0,0,0,0,0.559948639455782
P392607,1,1,0,1,1,1,0,0.560859390862944
P474943,1,1,0,0,1,0,0,0.5609
P377561,1,1,0,0,1,0,0,0.562216192170818
P450917,1,1,0,0,1,1,0,0.562216192170818
P427529,1,1,0,1,0,1,0,0.562439074550129
P469502,1,0,0,0,0,0,1,0.562624333333333
